comparison,camera,base_group,target_group,base_image_ratio,target_image_ratio,delta_image_ratio_pct,base_object_ratio,target_object_ratio,delta_object_ratio_pct,base_object_mass,target_object_mass,delta_object_mass_pct
A@A -> B@A,camera1,A_A,B_A,0.2287169908986364,0.2196371548878741,-3.969900082668705,0.132230461007137,0.125591158848612,-5.02100810052126,0.0312865919149801,0.0285737297052777,-8.671005832385152
A@A -> B@A,camera2,A_A,B_A,0.3973046194892957,0.4055584602196291,2.0774590390977665,0.0332367083483314,0.0288754011835254,-13.1219587664884,0.0131770185908493,0.0115702224800385,-12.193927630386646
B@A -> B@B,camera1,B_A,B_B,0.2196371548878741,0.3629217913340982,65.23697528288037,0.125591158848612,0.1160264573608904,-7.615744273250121,0.0285737297052777,0.0424945817794647,48.71905844204775
B@A -> B@B,camera2,B_A,B_B,0.4055584602196291,0.2756482903237471,-32.0324152097652,0.0288754011835254,0.0173906021906045,-39.77364303936804,0.0115702224800385,0.0048842507640782,-57.78602552799016
