comparison,camera,base_group,target_group,base_image_ratio,target_image_ratio,delta_image_ratio_pct,base_object_ratio,target_object_ratio,delta_object_ratio_pct
AA_to_CA,camera2,A_A,C_A,0.3973046194892957,0.5880470123350141,48.00910522784832,0.0332367083483314,0.0305891506591907,-7.9657638217160835
AA_to_DA,camera1,A_A,D_A,0.2287169908986364,0.2231072275893141,-2.452709476144006,0.132230461007137,0.1312818450954544,-0.7173959044364244
AA_to_DA,camera2,A_A,D_A,0.3973046194892957,0.4005726775502292,0.8225572773692584,0.0332367083483314,0.0305132366580503,-8.194167911389497
