camera,stage,image_ratio,object_ratio,object_mass
camera1,A@A,0.2287169908986364,0.132230461007137,0.0312865919149801
camera1,B@A,0.2196371548878741,0.125591158848612,0.0285737297052777
camera1,B@B,0.3629217913340982,0.1160264573608904,0.0424945817794647
camera2,A@A,0.3973046194892957,0.0332367083483314,0.0131770185908493
camera2,B@A,0.4055584602196291,0.0288754011835254,0.0115702224800385
camera2,B@B,0.2756482903237471,0.0173906021906045,0.0048842507640782
