group,camera,n_valid_frames,image_mass_mean,object_ratio_mean,mask_mode,mask_pad_size,layer_selection,generated_at_utc
A_A,camera1,24050,0.23149923778858109,0.12648089398909163,soft,512,odd,2026-04-22T02:11:36.507971+00:00
A_A,camera2,28190,0.39709127342235195,0.03349624389619616,soft,512,odd,2026-04-22T02:11:36.507971+00:00
