comparison,camera,base_group,target_group,n_base,n_target,base_mean_image_mass,base_mean_image_ratio,base_mean_object_mass_est,base_mean_object_ratio,delta_abs_image_mass,delta_abs_image_ratio,delta_abs_object_mass_est,delta_abs_object_ratio,delta_pct_image_mass,delta_pct_image_ratio,delta_pct_object_mass_est,delta_pct_object_ratio,target_mean_image_mass,target_mean_image_ratio,target_mean_object_mass_est,target_mean_object_ratio
AA_to_CA,camera2,A_A,C_A,28798,28798,0.39730462592940263,0.39730461948929574,0.013177018590849306,0.033236708348331465,0.19074239139645965,0.19074239284571837,0.004726834195079268,-0.002647557689140677,48.00910408487235,48.00910522784832,35.871803340717655,-7.9657638217160835,0.5880470173258623,0.5880470123350141,0.017903852785928574,0.030589150659190788
AA_to_DA,camera1,A_A,D_A,28798,28798,0.2287169948310768,0.22871699089863645,0.03128659191498019,0.13223046100713703,-0.005609763320609695,-0.00560976330932228,-0.0009757647229264275,-0.0009486159116826043,-2.452709438908504,-2.452709476144006,-3.118795187337826,-0.7173959044364244,0.2231072315104671,0.22310722758931417,0.030310827192053764,0.13128184509545443
AA_to_DA,camera2,A_A,D_A,28798,28798,0.39730462592940263,0.39730461948929574,0.013177018590849306,0.033236708348331465,0.003268059022380032,0.003268058060933443,-0.001002459756288581,-0.002723471690281091,0.822557506028318,0.8225572773692584,-7.6076371098446565,-8.194167911389497,0.40057268495178266,0.4005726775502292,0.012174558834560725,0.030513236658050374
