comparison,camera,base_group,target_group,n_base,n_target,base_mean_image_mass,base_mean_image_ratio,base_mean_object_mass_est,base_mean_object_ratio,delta_abs_image_mass,delta_abs_image_ratio,delta_abs_object_mass_est,delta_abs_object_ratio,delta_pct_image_mass,delta_pct_image_ratio,delta_pct_object_mass_est,delta_pct_object_ratio,target_mean_image_mass,target_mean_image_ratio,target_mean_object_mass_est,target_mean_object_ratio
AA_to_BA,camera1,A_A,B_A,28798,28798,0.2287169948310768,0.22871699089863645,0.03128659191498019,0.13223046100713703,-0.009079834226966704,-0.009079836010762343,-0.002712862209702474,-0.006639302158524957,-3.9698992344984183,-3.969900082668705,-8.671005832385152,-5.02100810052126,0.2196371606041101,0.2196371548878741,0.028573729705277717,0.12559115884861208
AA_to_BA,camera2,A_A,B_A,28798,28798,0.39730462592940263,0.39730461948929574,0.013177018590849306,0.033236708348331465,0.008253844853084169,0.008253840730333362,-0.0016067961108107588,-0.004361307164806063,2.077460043103249,2.0774590390977665,-12.193927630386646,-13.121958766488401,0.4055584707824868,0.4055584602196291,0.011570222480038547,0.0288754011835254
