group,camera,n_valid_frames,image_mass_mean,image_ratio_mean,object_mass_mean,object_ratio_mean,total_mass_mean,mask_mode,mask_pad_size,layer_selection,generated_at_utc
P_A,camera1,24050,0.2906129996961747,0.2906129922997405,0.04099277402455157,0.14249455603620345,1.0000000258557187,soft,512,odd,2026-04-22T02:11:36.507971+00:00
P_A,camera2,28190,0.30032671204849853,0.30032670431850006,0.006808144370672183,0.022786476939924215,1.0000000262142534,soft,512,odd,2026-04-22T02:11:36.507971+00:00
A_A,camera1,24050,0.23149923778858109,0.23149923402134032,0.029954026277433196,0.12648089398909163,1.0000000172401995,soft,512,odd,2026-04-22T02:11:36.507971+00:00
A_A,camera2,28190,0.39709127342235195,0.3970912664854187,0.013304679261729286,0.03349624389619616,1.0000000167916776,soft,512,odd,2026-04-22T02:11:36.507971+00:00
B_A,camera1,24050,0.2230646715852199,0.22306466623066934,0.027622997627062443,0.12130199289050214,1.0000000239908151,soft,512,odd,2026-04-22T02:11:36.507971+00:00
B_A,camera2,28190,0.4053520703688414,0.4053520595600539,0.011714459448731772,0.029189938543020186,1.0000000265272715,soft,512,odd,2026-04-22T02:11:36.507971+00:00
B_B,camera1,19296,0.36243680510510595,0.3624367972876386,0.04250383368218969,0.11605385178554942,1.0000000215080778,soft,512,odd,2026-04-22T02:11:36.507971+00:00
B_B,camera2,27846,0.2755281672552327,0.2755281614444582,0.0048813861890008815,0.017380171796314996,1.000000021536324,soft,512,odd,2026-04-22T02:11:36.507971+00:00
