group,image_mass,object_mass,image_ratio,object_ratio
P_A,0.2958948515754725,0.00707566255703973,0.29589483722954585,0.02389404192594975
A_A,0.39301014301322756,0.01332029087953556,0.3930102111602406,0.03351010969693759
B_A,0.3993855515228851,0.011767907088607853,0.39938540103918246,0.02952228016086858
C_A,0.5753225982484836,0.01772209737062799,0.5753225264275558,0.03082975347201782
