group,camera,n_valid_frames,image_mass_mean,object_ratio_mean,mask_mode,mask_pad_size,layer_selection,generated_at_utc
P_A,camera1,24050,0.2906129996961747,0.14249455603620345,soft,512,odd,2026-04-22T02:11:36.507971+00:00
P_A,camera2,28190,0.30032671204849853,0.022786476939924215,soft,512,odd,2026-04-22T02:11:36.507971+00:00
