camera,outcome,cells,mean_object_ratio,mean_image_mass,mean_object_mass
camera1,1,80,0.2748701852774819,0.3492922856467512,0.0995072445498342
camera1,2,80,0.156183457371362,0.3708194911105187,0.0583508339232873
camera1,3,80,0.0713757335686368,0.3722416296537167,0.0265444107688777
camera2,1,80,0.1056909746671811,0.2894633803981482,0.030723562423955
camera2,2,80,0.0855483615707153,0.2694664431633428,0.0234061771408104
camera2,3,80,0.0775867676412876,0.2680255658930076,0.0220689138642159
