metric,pair,n_a,n_b,delta_mean,ci95_low_boot,ci95_high_boot,pvalue_perm,qvalue_bh,cliffs_delta
image_ratio,1-2,15,17,-0.0142552526169195,-0.0242426596292177,-0.004582795071874,0.0066996650167491,0.0357315467559955,-0.4745098039215686
image_ratio,1-3,15,4,-0.0119252704216775,-0.0255066690377189,0.0003631409663424,0.2361881905904704,0.3657271681870451,-0.3666666666666666
image_ratio,2-3,17,4,0.002329982195242,-0.008434267159878,0.0111173680878957,0.6404179791010449,0.6831125110411146,0.2647058823529412
object_ratio,1-2,15,17,0.0236087977752718,0.0099785983768734,0.0349680896355358,0.0019999000049997,0.015999200039998,0.6705882352941176
object_ratio,1-3,15,4,0.0136083573219643,-0.0310999220210288,0.0392063748143585,0.2251387430628468,0.3657271681870451,0.5
object_ratio,2-3,17,4,-0.0100004404533074,-0.0557294213501163,0.0214037070373646,0.6283685815709215,0.6831125110411146,0.0
