comparison,camera,metric,base_group,target_group,base_mean,target_mean,delta_abs,delta_pct,n_base,n_target
AA_to_BA,camera1,image_mass,A_A,B_A,0.2287169948310768,0.2196371606041101,-0.009079834226966704,-3.9698992344984183,28798,28798
AA_to_BA,camera1,image_ratio,A_A,B_A,0.22871699089863645,0.2196371548878741,-0.009079836010762343,-3.969900082668705,28798,28798
AA_to_BA,camera1,object_mass_est,A_A,B_A,0.03128659191498019,0.028573729705277717,-0.002712862209702474,-8.671005832385152,28798,28798
AA_to_BA,camera1,object_ratio,A_A,B_A,0.13223046100713703,0.12559115884861208,-0.006639302158524957,-5.02100810052126,28798,28798
AA_to_BA,camera2,image_mass,A_A,B_A,0.39730462592940263,0.4055584707824868,0.008253844853084169,2.077460043103249,28798,28798
AA_to_BA,camera2,image_ratio,A_A,B_A,0.39730461948929574,0.4055584602196291,0.008253840730333362,2.0774590390977665,28798,28798
AA_to_BA,camera2,object_mass_est,A_A,B_A,0.013177018590849306,0.011570222480038547,-0.0016067961108107588,-12.193927630386646,28798,28798
AA_to_BA,camera2,object_ratio,A_A,B_A,0.033236708348331465,0.0288754011835254,-0.004361307164806063,-13.121958766488401,28798,28798
AA_to_CA,camera2,image_mass,A_A,C_A,0.39730462592940263,0.5880470173258623,0.19074239139645965,48.00910408487235,28798,28798
AA_to_CA,camera2,image_ratio,A_A,C_A,0.39730461948929574,0.5880470123350141,0.19074239284571837,48.00910522784832,28798,28798
AA_to_CA,camera2,object_mass_est,A_A,C_A,0.013177018590849306,0.017903852785928574,0.004726834195079268,35.871803340717655,28798,28798
AA_to_CA,camera2,object_ratio,A_A,C_A,0.033236708348331465,0.030589150659190788,-0.002647557689140677,-7.9657638217160835,28798,28798
AA_to_DA,camera1,image_mass,A_A,D_A,0.2287169948310768,0.2231072315104671,-0.005609763320609695,-2.452709438908504,28798,28798
AA_to_DA,camera1,image_ratio,A_A,D_A,0.22871699089863645,0.22310722758931417,-0.00560976330932228,-2.452709476144006,28798,28798
AA_to_DA,camera1,object_mass_est,A_A,D_A,0.03128659191498019,0.030310827192053764,-0.0009757647229264275,-3.118795187337826,28798,28798
AA_to_DA,camera1,object_ratio,A_A,D_A,0.13223046100713703,0.13128184509545443,-0.0009486159116826043,-0.7173959044364244,28798,28798
AA_to_DA,camera2,image_mass,A_A,D_A,0.39730462592940263,0.40057268495178266,0.003268059022380032,0.822557506028318,28798,28798
AA_to_DA,camera2,image_ratio,A_A,D_A,0.39730461948929574,0.4005726775502292,0.003268058060933443,0.8225572773692584,28798,28798
AA_to_DA,camera2,object_mass_est,A_A,D_A,0.013177018590849306,0.012174558834560725,-0.001002459756288581,-7.6076371098446565,28798,28798
AA_to_DA,camera2,object_ratio,A_A,D_A,0.033236708348331465,0.030513236658050374,-0.002723471690281091,-8.194167911389497,28798,28798
BA_to_BB,camera1,image_mass,B_A,B_B,0.2196371606041101,0.36292179951449816,0.14328463891038806,65.23697470695984,28798,28744
BA_to_BB,camera1,image_ratio,B_A,B_B,0.2196371548878741,0.3629217913340982,0.14328463644622408,65.23697528288037,28798,28744
BA_to_BB,camera1,object_mass_est,B_A,B_B,0.028573729705277717,0.042494581779464725,0.013920852074187008,48.719058442047746,28798,28744
BA_to_BB,camera1,object_ratio,B_A,B_B,0.12559115884861208,0.11602645736089044,-0.009564701487721636,-7.615744273250121,28798,28744
BA_to_BB,camera2,image_mass,B_A,B_B,0.4055584707824868,0.2756482963025966,-0.12991017447989023,-32.03241550576932,28798,28744
BA_to_BB,camera2,image_ratio,B_A,B_B,0.4055584602196291,0.2756482903237471,-0.129910169895882,-32.0324152097652,28798,28744
BA_to_BB,camera2,object_mass_est,B_A,B_B,0.011570222480038547,0.004884250764078216,-0.006685971715960331,-57.78602552799016,28798,28744
BA_to_BB,camera2,object_ratio,B_A,B_B,0.0288754011835254,0.017390602190604555,-0.011484798992920847,-39.77364303936804,28798,28744
