group,camera,image_mass_mean,image_mass_std,object_mass_est_mean,object_mass_est_std,image_ratio_mean,image_ratio_std,object_ratio_mean,object_ratio_std,n
A_A,camera1,0.2287169948310768,0.024454479346114645,0.03128659191498019,0.030143028221602378,0.22871699089863645,0.024454480685019448,0.13223046100713703,0.12317572522303794,28798
B_A,camera1,0.2196371606041101,0.026407265474725015,0.028573729705277717,0.028411254563322375,0.2196371548878741,0.026407264611543316,0.12559115884861208,0.12030191757914482,28798
D_A,camera1,0.2231072315104671,0.02377655674691918,0.030310827192053764,0.029040876476136995,0.22310722758931417,0.02377655615482279,0.13128184509545443,0.12136943405823537,28798
B_B,camera1,0.36292179951449816,0.03447940118362206,0.042494581779464725,0.05275962438972175,0.3629217913340982,0.034479398603687116,0.11602645736089044,0.135513491118034,28744
A_A,camera2,0.39730462592940263,0.026599514704884863,0.013177018590849306,0.011899510179344576,0.39730461948929574,0.026599511393155827,0.033236708348331465,0.02935993293880089,28798
B_A,camera2,0.4055584707824868,0.03170781078749819,0.011570222480038547,0.010109330148548184,0.4055584602196291,0.03170780933144369,0.0288754011835254,0.024944881948480324,28798
C_A,camera2,0.5880470173258623,0.04587680199591667,0.017903852785928574,0.01530217543571546,0.5880470123350141,0.045876796369026286,0.030589150659190788,0.02558540599905746,28798
D_A,camera2,0.40057268495178266,0.029171977799399958,0.012174558834560725,0.011050439256951834,0.4005726775502292,0.029171971574726008,0.030513236658050374,0.026979450630141937,28798
B_B,camera2,0.2756482963025966,0.037042900798121205,0.004884250764078216,0.004134669157777228,0.2756482903237471,0.037042900813250935,0.017390602190604555,0.014168046488595583,28744
